tourist_destination,review_post
Burnham Park,"An excellent place for family and friends to visit. It has no entrance fees, and has a lake where you can ride a boat (P 150) and park grounds where you can ride small bikes (P 100). Not a place I would recommend at night as it gets quite dark here at some spots. But the morning is a superb experience you will definitely want to come back to."
Burnham Park,"A lovely place to be on a nice day.We were pleasantly surprised and very pleased at how long a period of time that we had aboard our boat on the lake.You may hire bicycles(some carrying as many as three people)on the cycle track for a modest fee,and once again the period of time allowed is most generous indeed ~ so it is good value for money.Spend time here is amazing. I love the place."
Burnham Park,"Definitely one of the best places to visit in Baguio. 💖 Burnham Park is a crowded tourist destination, but for good reason. The assortment of flowers that you will see in the park is truly breathtaking.Aside from sightseeing, you can also do boating, have your picture taken by a photographers' cooperative in tribal clothes, rent cars or bikes, and play at the amusement park."
Burnham Park,I have always been looking at this park ever since 2018. I only had the chance to review the park because I flexed the view of this park to my Japanese friend so that he can go here someday. Still crowded as ever. There's a lot of tourist as always. It is still fun to see everyone having fun here.
Burnham Park,Very beautiful park with boating and cycling available inside the park. Good place to relax and have clean air. Whenever I visit Philippines I make sure to visit Burnham park each time.
Burnham Park,A lot cleaner and crowd is more manageable more than ever. Police presence is constant so you feel more safe. More public CR are around and increased number of evenly spread out trash bins. Just make sure you do your part and clean as you go.
Burnham Park,Bring something to protect you from the heat of the sun when going up in this place. family vehicles are not  allowed to go up to this point because the area where you will see a good view of the tower and the west Philippines sea is not wide enough  for vehicles. tricycle fare per trip is 50 pesos as of 2022 with a maximum of 3persons per trip.
Burnham Park,"I/we enjoyed Burnham Park. We visited when it was busy and mellow, day and night. Felt safe. Numerous low level things to do for all ages. Fun to see nostalgic things to do (bumper cars, bike/pedal rentals) all sorts of food vendors, even massage people (but not sure where that happens).We had a picnic and someone offered (and we bought) blue tarp to sit on.Recommend and would return but wouldn’t call it a must see.Parking is hard to come by so walk or get dropped off is key."
Burnham Park,"Burnham Park is considered to be one of the most famous parks in the country. It is located on Jose Abad Santos Drive, Baguio City 2600 Benguet Philippines. A park is a popular place for both locals and tourists. This place is often full-packed with people regardless if it is rainy or not. The most well-known activity in the park is “biking”. There are lots of bicycles for rent at a very decent price. It is an excellent activity for youngsters and adults."
Burnham Park,"The place was also nice to see in the morning especially trying activities a family can enjoy like biking, riding a boat and having picnics. There are food area and lots of rest rooms. Parking is just hard during peak season. (Forgot to take pics since we just visit first in the evening for the night market 😊). The night market is beside the park."
Burnham Park,The best place to have a relaxing time after a long day or week. Most especially on a really nice weather. Have a sit in one of the benches around the park while sipping your freshly brewed coffee or any fave beverage. This is a not to miss place. Free and worth it!
Burnham Park,"Very busy during daytime, glad that we are almost back to normal now. Bikes, Tricycle, boat, etc. for rent are very affordable/cheap. Just the right price. Clean area minus the color of the lake's water."
Burnham Park,"A great place for a trip with your family, friends and your partner!-There are available paddle boat operators that you can rent from 200-350 pesos.-Bikes can be rented from 75 pesos up to 150 pesos that is already good for 30 minutes.Location is strategic. There are several walking distance establishments where you can eat and jeepney vehicles are just nearby."
Burnham Park,I love walking around baguio especially at Burnham Park because you can see a lot of flowers around the park. You can also do many recreational activities like biking and riding a boat. They also have food stalls once you got hungry! This park is also near markets.
Burnham Park,"one of our favorite places in Baguio. Unfortunately, only those checked-in or with membership are allowed to visit. they have golf and other sports activities, great food, activities for children, clean and spacious rooms, and very near to camp john hay."
Burnham Park,Burnham Park is a good place to stroll both night and day. There are paid parking lots around the area you have to pick the area where you will be staying for a long time to prevent longer walks.We took the boating at night and it is more beautiful and silent than in the morning. We paid ₱150 for the boat plus additional ₱50 because we were tired to row the boat.We wanted to try roller skates but it was already closed at 7PM. The bump car was the other ride we were able to try it was ₱100/5 mins/head and with a weight limit.
Burnham Park,Big park with plenty of space to do a variety of activities offered by the park or on your own. Many restrooms situated around the park as well as food stops. Not many restrooms open when it gets dark. Not sure I've seen many trash bins but the park seemed to be well maintained from garbage
Burnham Park,The park offers a lot of activities and is well known for the boat ride. You may choose what you want to do there and enjoy the weather while doing your activities.
Burnham Park,"Things to do around Burnham Park are:- Have a boat ride in the lake- Rent a bike to ride around- Walk around the park- Eat local food- Learn a little about history of the place.NOTE: There are locals who would suddenly stand near you and sing a song and ask for donation. It is up to you if you would give them. There are also locals who will offer you a massage for Php100.00.At weekends, it can be crowded. If you want a much quiet time, go on weekdays.There is a night market that pops up beside the park. It's a whole street of people selling products such as souvenirs, shirts, jackets, and a separate area for food."
Burnham Park,"Always iconic 🌻 Haven't been here for so long despite my distance, but it's due to some busy schedules and some usual distractions. Indeed, if you wanna ponder over things and genuinely cry while walking down the park like I did this early morning. Early as 4, 5 or 6AM is perfect if u wish for a wider space & less people. Meeting joggers too on the way pictures a healthy environment while the cold breezy wind dances.Tired now, benches are free, yet cold ha-ha!Burnham Park is 💞"
Burnham Park,It's a nostalgic visit for me. There you still have the man made lagoon where tourist can go on boating. There's these biking & cart area where kids & children alike can while away time waiting for their elders. Not far off is the market where fresh produce can be bought & taken as pasalubong.
Burnham Park,"Great park for a walk. In the middle you can rent a boat for a boat riding around P200 for 30 mins. On the upper part there was an amusement park with skating rink and or you can rent a bike, price depends on what bike youll rent. Overall its an enjoyable place with the family."
